TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,Rn_1_1_1,SWout_1_1_1,LWout_1_1_1,Ts_3_1_1,Ts_3_2_1,SWC_3_1_1,SWC_3_2_1,SHF_1_1_1,SHF_1_1_2,SHF_2_1_1,SHF_2_1_2,P_1_1_1,Rg_1_1_1,LWin_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,W+1m-2,W+1m-2,W+1m-2,C,C,m3 m-3,m3 m-3,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm,W+1m-2,W+1m-2
2024-12-03 0900,-5.658666667,77.90533333,412.49,65.65173,37.21444,288.8507,0.3942899,0.5134896,0.5391092,0.4296697,-11.33354,-12.44605,-13.25489,-13.38314,0,171.0634,220.6535
2024-12-03 0930,-4.107,71.54266667,549.24,104.1705,53.75729,296.3151,0.4504487,0.5726081,0.5389515,0.429632,-11.31429,-12.4152,-13.24368,-13.39885,0,231.1255,223.1174
2024-12-03 1000,-2.678666667,64.75466667,673.0066667,144.9886,69.48399,304.4908,0.5299292,0.6444565,0.538815,0.4296,-11.24774,-12.32282,-13.18203,-13.36108,0,292.1056,226.8578
2024-12-03 1030,-1.235333333,58.62666667,774.2566667,186.5884,82.47691,313.644,0.5751659,0.6879137,0.538691,0.429568,-11.12606,-12.17565,-13.06006,-13.26527,0,352.4774,230.2319
2024-12-03 1100,-0.321666667,56.317,855.2333333,220.3979,92.39828,322.6942,0.6083897,0.7060653,0.5386409,0.4295373,-10.96734,-11.97774,-12.87703,-13.1215,0,401.2413,234.2491
2024-12-03 1130,0.752,53.59233333,901.3666667,246.6588,100.1596,329.6911,0.6807855,0.7631694,0.5384864,0.429496,-10.79534,-11.797,-12.65943,-12.95154,0,438.2497,238.2598
2024-12-03 1200,1.783333333,50.88233333,917.4666667,260.038,105.2589,336.506,0.7270949,0.8065128,0.5384237,0.4294769,-10.62801,-11.60864,-12.45085,-12.77502,0,460.6302,241.1727
2024-12-03 1230,2.468666667,49.78233333,901.2,260.7674,107.0349,343.3255,0.7587561,0.8347377,0.538317,0.4294391,-10.46996,-11.46715,-12.26552,-12.59723,0,467.0623,244.0655
2024-12-03 1300,3.257666667,48.23566667,856.2333333,249.2774,106.8485,348.7274,0.7941144,0.8680344,0.5382426,0.4293893,-10.31847,-11.31756,-12.09361,-12.41955,0,459.571,245.2823
2024-12-03 1330,3.800666667,47.22266667,794.4933333,227.0076,103.9725,349.0401,0.8633575,0.9344239,0.5382088,0.4293537,-10.16832,-11.18588,-11.92546,-12.23778,0,435.8659,244.1542
2024-12-03 1400,4.375666667,46.40033333,692.5866667,199.6709,100.2288,349.0128,0.9040461,0.9737332,0.5382574,0.4293174,-10.01543,-10.96943,-11.75829,-12.05117,0,405.3505,243.5619
